NP_415169.1	WP_000776104.1	100	100	rlmH	b0636	rlmH	LF82_RS03010														Geneid		LF82_WT_1	LF82_WT_2	LF82_WT_3	SD105_1	SD105_2	SD105_3
NP_414745.1	WP_001230983.1	100	100	yafD	b0209	yafD	LF82_RS01090														LF82_RS00190	b0036	1.97	1.2	5.07	2.22	1.33	1.75
NP_418774.2	WP_001314407.1	100	99.721	btsT	b4354	btsT	LF82_RS23240														LF82_RS00195	b0037	20.39	14.57	23.09	12.89	41.92	16.22
NP_417484.1	WP_001058819.1	100	99.742	yqhD	b3011	yqhD	LF82_RS15785														LF82_RS00200	b0038	18.31	4.86	20.31	16.76	22.38	9.58
NP_416400.1	WP_014640162.1	100	99.638	tar	b1886	tar	LF82_RS09810														LF82_RS00205	b0039	13.7	5.46	26.08	27.87	35.41	12.48
NP_416112.1	WP_001019537.1	100	98.99	ynfL	b1595	ynfL	LF82_RS08290														LF82_RS00210	b0040	1.35	3.98	6.79	2.23	4.85	2.01
NP_417890.1	WP_001283713.1	100	99.451	glgB	b3432	glgB	LF82_RS26265														LF82_RS00215	b0041	1.99	1.68	9.49	1.47	4.02	0.56
NP_414870.1	WP_000076253.1	100	99.523	codB	b0336	codB	LF82_RS01730														LF82_RS00220	b0042	8.15	3.64	14.62	8.66	13.15	5.78
NP_415365.4	WP_001298572.1	100	99.262	ybjI	b0844	ybjI	LF82_RS04020														LF82_RS00225	b0043	6.01	5.66	7.18	3.67	7.31	3.57
YP_009518822.1	WP_001247093.1	98	99.103	rph	b3643	rph	LF82_RS19100														LF82_RS00230	b0044	0	0.38	0.5	0.25	0	0.17
NP_415702.1	WP_000457597.1	100	98.341	umuC	b1184	umuC	LF82_RS06265														LF82_RS00235	b0045	9.36	10.31	24.43	17.47	24.05	11.75
NP_415083.1	WP_001204794.1	100	95.276	nmpC	b0553	quuD	LF82_RS05905														LF82_RS00240	b0046	32.23	8.3	53.15	27.07	25.81	10.79
YP_010051182.1	WP_023148853.1	100	97.619	ymiD	b4772	ymiD	LF82_RS26130														LF82_RS00245	b0047	52.82	19.22	90.68	33.77	43.67	34.81
NP_416295.1	WP_014640160.1	100	97.183	yeaE	b1781	yeaE	LF82_RS09255														LF82_RS00250	b0048	48.72	65.16	48.67	72.39	98.05	52.64
NP_416780.1	WP_000926460.1	100	99.607	nuoM	b2277	nuoM	LF82_RS11970														LF82_RS00255	#N/A	84.14	79.62	111.48	101.48	165.23	59.25
NP_416373.1	WP_000571479.1	100	99.617	znuB	b1859	znuB	LF82_RS09685														LF82_RS00260	#N/A	67.5	56	97.08	90.37	155.75	31
NP_416748.1	WP_000992976.1	100	98.502	yfaU	b2245	yfaU	LF82_RS11825														LF82_RS00265	b0049	68.3	68.83	136.21	99.67	159.32	81.29
NP_417029.4	WP_001467880.1	100	98.592	yfhR	b2534	yfhR	LF82_RS13105														LF82_RS00270	b0050	148.1	107.64	181.72	147.5	266.67	85
NP_418500.1	WP_000812991.1	100	96.465	nrfG	b4076	nrfG	LF82_RS21600														LF82_RS00275	b0051	195.17	113.06	230.41	232.21	334.58	124
NP_418435.1	WP_001298281.1	100	97.638	yjaA	b4011	yjaA	LF82_RS21180														LF82_RS00280	b0052	207.5	160.17	291.56	283	495.5	146.75
YP_025304.1	WP_000597201.1	100	98.065	slyB	b1641	slyB	LF82_RS08535														LF82_RS00285	b0053	362.78	279.52	477.64	463.32	650.24	290.35
NP_418451.4	WP_001468288.1	100	98.585	yjbF	b4027	yjbF	LF82_RS21305														LF82_RS00290	b0054	416.2	319.7	681.61	531.56	862.65	343.22
YP_026278.1	WP_001185153.1	100	99.16	ptsA	b3947	ptsP	LF82_RS20835														LF82_RS00295	b0055	48	34.58	78.31	52.71	99.25	33.92
NP_418602.1	WP_000220134.1	100	98.496	yjfI	b4181	yjfI	LF82_RS22450														LF82_RS00300	b0058	52.83	19.7	37.04	44.88	64.67	36.75
NP_416728.1	WP_000786529.1	100	97.716	atoB	b2224	atoB	LF82_RS11720														LF82_RS00305	b0059	156.44	121.6	60.4	107.62	189.4	106.9
NP_415651.4	WP_001441929.1	100	98.913	mnmA	b1133	mnmA	LF82_RS05735														LF82_RS00310	b0060	68.86	112.86	111.24	90.56	145.79	50.57
NP_414624.1	WP_000970490.1	100	99.681	rsmH	b0082	rsmH	LF82_RS00430														LF82_RS00315	b0061	4.25	6.35	10.92	8.22	8.9	3.03
NP_416039.1	WP_000558456.1	100	98.413	dgcF	b1522	uxaB	LF82_RS07795														LF82_RS00320	b0062	9.64	13.48	17.82	12.13	14.81	6.34
NP_417634.1	WP_000059466.1	100	100	rpsO	b3165	rpsO	LF82_RS16590														LF82_RS00325	b0063	6.27	6.62	12.92	4.25	2.5	5.22
NP_416187.1	WP_001571509.1	99	97.17	ydhW	b1672	ydhW	LF82_RS08695														LF82_RS00330	#N/A	30.61	17.01	114.08	58.92	33.21	18.83
NP_417760.1	WP_001238917.1	100	99.306	rplO	b3301	rplO	LF82_RS17295														LF82_RS26035	b0064	1.39	4.56	17.06	3.17	2.24	2.5
NP_417460.1	WP_001190682.1	100	98.696	yghT	b2986	yghT	LF82_RS15660														LF82_RS00335	#N/A	5.56	3.34	24.58	14.18	13.35	3.13
NP_416327.1	WP_000456725.1	100	99.479	nudL	b1813	nudL	LF82_RS09410														LF82_RS00340	#N/A	2.48	0.67	6	3.71	1.49	0
NP_415318.1	WP_000007116.1	100	98.899	rhlE	b0797	rhlE	LF82_RS03785														LF82_RS00345	b0065	101.39	47.14	120.43	57.08	122.13	31.16
NP_415765.1	WP_000214516.1	100	100	clsA	b1249	cls	LF82_RS06645														LF82_RS00350	b0066	13.51	23.5	30.45	26.03	41.67	16.15
YP_003933616.1	WP_001387276.1	100	100	mgtL	b4702	mgtL	LF82_RS25900														LF82_RS00355	b0067	67.58	68.78	71.31	56.92	99.17	41.5
NP_417708.1	WP_000854033.1	100	99.677	aaeA	b3241	aaeA	LF82_RS16935														LF82_RS00360	b0068	55.58	47.45	74.63	48.5	70.07	35
NP_415944.1	WP_001299372.1	100	98.883	rimL	b1427	rimL	LF82_RS07325														LF82_RS00365	b0069	30.72	30.4	95.83	50.04	58.06	29.74
NP_416156.4	WP_000061974.1	100	95.413	mliC	b1639	mliC	LF82_RS08525														LF82_RS00370	b4662	69.63	49.3	82.9	46.4	87.3	46.4
NP_415652.1	WP_000476093.1	100	100	nudJ	b1134	nudJ	LF82_RS05740														LF82_RS00375	b0071	3.1	14.24	6.69	6.19	5.97	1.75
NP_418779.2	WP_001292634.1	100	99.345	opgB	b4359	opgB	LF82_RS23285														LF82_RS00380	b0072	4.61	7.65	11.54	5.69	15.29	3.88
NP_417907.2	WP_000907827.1	100	97.472	ugpC	b3450	ugpC	LF82_RS18055														LF82_RS00385	b0073	2.88	2.71	7.99	8.78	8.74	3.36
NP_416689.1	WP_000578103.1	100	98.976	radD	b2184	radD	LF82_RS11505														LF82_RS00390	b0074	4.99	1.97	11.02	7.32	9.07	2.64
NP_415844.1	WP_000817700.1	100	98.997	pgrR	b1328	pgrR	LF82_RS07070														LF82_RS00395	b0075	11.75	7	62.58	24	21	9
NP_416037.2	WP_001313828.1	100	100	yneE	b1520	yneE	LF82_RS07780														LF82_RS00400	#N/A	3.39	2.69	11.48	4.97	11.17	1.33
NP_416703.1	WP_001295447.1	100	100	ccmC	b2199	ccmC	LF82_RS11585														LF82_RS26000	b0076	0	0.17	0.5	0	0	0
NP_415601.1	WP_001212764.1	100	98.423	flgL	b1083	flgL	LF82_RS05480														LF82_RS00405	b0077	32.85	30.49	100.24	25.97	38.17	18.17
NP_415448.1	WP_000462696.1	100	99.242	aspC	b0928	aspC	LF82_RS04465														LF82_RS00410	b0078	5.25	4.5	8.56	5.1	4.5	5.25
NP_418304.1	WP_001334023.1	100	99.574	glnG	b3868	glnG	LF82_RS20385														LF82_RS00415	#N/A	30.33	38.44	69.36	3.5	8.67	1
NP_415125.1	WP_001298341.1	100	99.744	entC	b0593	entC	LF82_RS02800														LF82_RS00420	b0080	147.29	64.75	419.04	197.02	167.05	71.93
NP_415679.1	WP_000373104.1	100	99.254	ycgX	b1161	ycgX	LF82_RS06135														LF82_RS00425	b0081	132.08	114.89	299.5	226.78	283.5	109.67
NP_418101.1	WP_000621332.1	100	98.955	yicC	b3644	yicC	LF82_RS19105														LF82_RS00430	b0082	248.82	201.97	564.84	339.2	497.29	225.68
NP_415850.1	WP_000611911.1	100	100	fnr	b1334	fnr	LF82_RS07100														LF82_RS00435	b0083	152.75	138.96	326.42	222.33	331.83	107.46
NP_418319.2	WP_000196715.1	99	67.34	yihV	b3883	typA	LF82_RS20445														LF82_RS00440	b0084	1170.99	1807.48	2217.56	1860.74	2602.8	322.35
NP_418227.1	WP_000047499.1	100	100	rhlB	b3780	rhlB	LF82_RS19820														LF82_RS00445	b0085	252.87	170.21	305.11	290.96	491.38	244.7
NP_416617.1	WP_001296226.1	100	99.557	metG	b2114	metG	LF82_RS11135														LF82_RS00450	b0086	213.28	183.67	305.92	312.68	510.3	211.91
NP_418007.3	WP_000185343.1	100	97.04	bisC	b3551	bisC	LF82_RS18665														LF82_RS00455	b0087	166.27	140.56	219.56	194.56	317.96	156.53
NP_416093.1	WP_001083273.1	100	98.413	ydfD	b1576	ydfD	LF82_RS08195														LF82_RS00460	b0088	174.87	145.48	275.52	265.69	415.92	194.25
NP_416411.1	WP_001298457.1	100	99.248	otsB	b1897	otsB	LF82_RS09855														LF82_RS00465	b0089	162.2	133.36	250.74	241.6	387.3	145.08
NP_417441.1	WP_000234491.1	100	97.872	yqgA	b2966	yqgA	LF82_RS15415														LF82_RS00470	b0090	136.87	91.46	200.24	195	268.45	130.4
NP_415157.1	WP_000939738.1	100	98.425	crcB	b0624	crcB	LF82_RS02950														LF82_RS00475	b0091	256.65	173.34	349.32	318.88	457.38	200.76
NP_416729.1	WP_001225879.1	100	98.45	yfaP	b2225	yfaP	LF82_RS11725														LF82_RS00480	b0092	189.64	152.4	254.97	264.64	327.09	173.5
NP_418584.1	WP_000934911.1	100	99.689	psd	b4160	asd	LF82_RS22345														LF82_RS00485	b0093	218.18	154.01	336.37	257.54	396.24	162.5
NP_418819.1	WP_001295754.1	98	100	yjjY	b4402	yjjY	LF82_RS23530														LF82_RS00490	b0094	414.67	335.14	562.76	467.29	663.77	352.9
NP_417374.1	WP_000886078.1	100	98.773	ygfZ	b2898	ygfZ	LF82_RS15055														LF82_RS00495	b0095	489.16	340.28	813.23	660.72	916.15	484.23
NP_417983.2	WP_001297976.1	100	99.353	kdgK	b3526	kdgK	LF82_RS18495														LF82_RS00500	b0096	1414.82	1036.62	1866.93	1785.41	3118.07	1206.42
NP_416251.1	WP_000073023.1	100	99.336	chbC	b1737	chbC	LF82_RS09025														LF82_RS00505	b0097	286.03	203.31	402.58	412.97	607.67	190.67
NP_415358.1	WP_000555041.1	100	99.191	yliI	b0837	yliI	LF82_RS03985														LF82_RS00510	b0098	925.31	750.96	1256.58	1076.62	1457.51	724.84
NP_417454.1	WP_001314155.1	99	99.206	glcC	b2980	glcC	LF82_RS15595														LF82_RS00515	b0099	9.14	6.53	14.5	13.54	30.25	8.5
NP_418073.1	WP_000646018.1	100	99.413	tdh	b3616	tdh	LF82_RS18980														LF82_RS00520	b0101	25.25	16.14	31	24.5	56.03	19.1
NP_415740.1	WP_000918039.1	100	99.498	narX	b1222	narX	LF82_RS06485														LF82_RS00525	b0102	83.35	69.15	137.23	94.33	151	83.15
YP_009518825.1	WP_000037973.1	99	30.159	glvC	b3683	ptsG	LF82_RS20110														LF82_RS00530	b0103	59.42	39.21	109	90.54	101.5	42.32
NP_416823.1	WP_000699136.1	100	98.677	pdxB	b2320	pdxB	LF82_RS12190														LF82_RS26005	#N/A	0.05	0	2	1	0	0
NP_418783.2	WP_000538188.1	100	99.363	yjjB	b4363	yjjB	LF82_RS23305														LF82_RS00535	b0104	579.11	497.64	977.03	393.43	420.54	162.89
NP_415015.1	WP_000365160.1	100	98.485	ybaP	b0482	ybaP	LF82_RS23795														LF82_RS00540	b0106	3.72	2.11	5.23	1.58	9.01	3.25
NP_416707.4	WP_000835174.1	100	100	napB	b2203	napB	LF82_RS11605														LF82_RS00545	b0107	3.38	6.14	6.86	7.7	3.75	2.58
NP_417564.2	WP_001298326.1	100	99.537	exuT	b3093	exuT	LF82_RS16275														LF82_RS00550	b0108	5	1	8.58	1.12	3.38	1
NP_417498.1	WP_000673390.1	100	98.664	qseC	b3026	qseC	LF82_RS15880														LF82_RS00560	b0109	104.4	73.33	193.5	142.53	243.04	70.58
NP_416347.1	WP_001207279.1	100	99.766	letA	b1833	yebS	LF82_RS09540														LF82_RS00565	b0110	19.6	11.07	32.57	61.57	113.63	20.5
NP_417451.1	WP_000853256.1	100	100	glcG	b2977	glcG	LF82_RS15575														LF82_RS00570	b0111	14.72	12.58	47.73	66.18	67.95	23.77
NP_418098.4	WP_000818603.1	100	99.495	slmA	b3641	slmA	LF82_RS19090														LF82_RS00575	b0112	68.56	70.56	105.32	21.19	27.74	15.3
NP_418805.1	WP_001132964.1	100	99.379	serB	b4388	serB	LF82_RS23450														LF82_RS00580	#N/A	23.07	13.03	35.48	24.9	21.12	5.66
NP_415119.1	WP_000096767.1	100	93.899	fepE	b0587	wzz(fepE)	LF82_RS02770														LF82_RS00585	#N/A	11.72	5.24	16.58	8.17	6.1	1.7
NP_418675.1	WP_000012936.1	100	94.012	argI	b4254	argF	LF82_RS22840														LF82_RS00590	#N/A	5.08	0.33	1.92	2.25	2.83	3.5
NP_415399.4	WP_000746478.1	100	98.652	macA	b0878	macA	LF82_RS04200														LF82_RS00595	#N/A	4.72	4.79	8.47	12.04	8.18	5.53
NP_415175.1	WP_015912473.1	100	99.302	leuS	b0642	leuS	LF82_RS03040														LF82_RS00600	#N/A	13	9.5	17.08	9.38	23.92	3.5
NP_416377.1	WP_001295503.1	100	100	ruvC	b1863	ruvC	LF82_RS09705														LF82_RS00605	#N/A	20.61	21.81	38.73	29.08	54.37	18.37
NP_415969.1	WP_000550678.1	100	98.584	yncE	b1452	yncE	LF82_RS07440														LF82_RS00610	b0113	92.48	674.88	108.45	467.06	1735.78	354.03
NP_415440.1	WP_000899600.1	100	100	elyC	b0920	elyC	LF82_RS04425														LF82_RS00615	b0114	3824.62	6662.77	9057.22	4128.54	18254.48	7404.83
NP_414890.1	WP_000842109.1	100	99.187	frmA	b0356	frmA	LF82_RS01770														LF82_RS00620	b0115	3636.33	5183.09	7976.41	3944.4	15081.88	5801.86
NP_416909.1	WP_000034402.1	100	100	cysK	b2414	cysK	LF82_RS12590														LF82_RS00625	b0116	2636.77	2691.58	5990.38	3500.38	8593.87	3784.47
YP_025303.1	WP_001296096.1	100	95.122	blr	b4409	blr	LF82_RS08445														LF82_RS00630	b0117	8.47	5.34	22.32	6.92	14.28	0.54
YP_026265.1	WP_000171710.1	100	100	rhtB	b3824	rhtB	LF82_RS20055														LF82_RS00635	b0118	2181.61	1331.3	5434.56	3033.03	4211.64	2517.76
NP_418442.2	WP_000226409.1	100	99.27	iclR	b4018	iclR	LF82_RS21210														LF82_RS00640	b0119	129.71	104.45	277.35	95.57	102.89	45
NP_417624.1	WP_000189322.1	100	98	yhbQ	b3155	yhbQ	LF82_RS16535														LF82_RS00645	b0120	654.32	536.77	699.39	242.45	467.51	169.17
NP_417496.1	WP_000712658.1	100	100	ygiW	b3024	ygiW	LF82_RS15870														LF82_RS00650	b0121	301.85	227.12	339.35	129.51	204.61	111
NP_414853.1	WP_015912465.1	100	94.077	yahE	b0319	yahE	LF82_RS01655														LF82_RS00655	b0122	41.33	29.67	83	138.5	198.12	51.5
NP_415309.1	WP_000045484.1	100	98.113	ybhN	b0788	ybhN	LF82_RS03735														LF82_RS00660	b0123	30.93	17.45	37.47	25.45	38.33	23.11
NP_417426.1	WP_000997805.1	100	99.573	yggS	b2951	yggS	LF82_RS15325														LF82_RS00670	b0124	222.18	160.53	218.21	144.71	355.46	160.12
NP_418354.1	WP_001216325.1	100	100	tpiA	b3919	tpiA	LF82_RS20665														LF82_RS00675	b0125	172.52	150.86	299.93	197.14	339.77	188.5
NP_415428.1	WP_000445244.1	99	98.588	aroA	b0908	aroA	LF82_RS04365														LF82_RS00680	b0126	274.82	334.82	774.3	470.98	773.84	156
YP_002791254.1	WP_001050745.1	100	97.561	yqfG	b4684	yqfG	LF82_RS15005														LF82_RS00685	b0127	70.02	42.04	97.53	66.24	93.58	34.84
NP_418021.1	WP_000275345.1	100	98.554	xylB	b3564	xylB	LF82_RS18730														LF82_RS00690	b0128	46.48	43.36	77.68	49.1	55.11	20.4
NP_418180.1	WP_000377784.1	100	99.585	phoU	b3724	phoU	LF82_RS19560														LF82_RS00695	b0129	12.7	12.64	70.87	26.8	27.6	10.95
NP_415147.1	WP_000550401.1	100	98.361	citX	b0614	citX	LF82_RS02900														LF82_RS00700	b0130	31.3	31.62	66.77	35.84	57.06	21.5
NP_415133.1	WP_000183964.1	100	98.187	ybdL	b0600	ybdL	LF82_RS02840														LF82_RS00705	b0131	231.77	277.25	616.89	149.2	250.46	75.33
NP_418318.1	WP_001306655.1	98	72.603	yihU	b3882	yihU	LF82_RS20450														LF82_RS00710	b0132	33.48	32.57	80.19	35.38	50.55	20.77
NP_418390.1	WP_000556298.1	100	99.133	eptC	b3955	eptC	LF82_RS20870														LF82_RS00715	b0133	191.75	130.6	393.64	133.94	194.04	115.38
NP_415335.1	WP_001295296.1	100	100	ompX	b0814	ompX	LF82_RS03875														LF82_RS00720	b0134	156.95	120.57	225.18	72.27	131.92	59.48
YP_009518812.1	WP_120795390.1	100	100	yqfH	b4753	yqfG	LF82_RS25820														LF82_RS00725	b0135	18.95	13.78	23.08	9.28	26.54	9.08
NP_418767.4	WP_000132614.1	100	94.69	symE	b4347	symE	LF82_RS23205														LF82_RS00730	b0136	3.88	1.17	0.5	1.92	4.41	0.14
NP_417638.1	WP_001031057.1	100	100	nusA	b3169	nusA	LF82_RS16610														LF82_RS00735	b0137	3.14	2.27	12.07	3.19	5.96	1.18
YP_010051176.1	WP_001312672.1	100	94.118	speFL	b4803	speFL	LF82_RS25540														LF82_RS00740	b0138	3.42	2.63	6.6	1.26	4.49	0
NP_418033.1	WP_000576092.1	99	91.558	yiaL	b3576	yiaL	LF82_RS18795														LF82_RS00745	b0139	18.61	8.82	37.57	13.86	22.68	4.97
NP_417107.2	WP_001203437.1	100	100	bamE	b2617	bamE	LF82_RS13535														LF82_RS00750	b0140	2.73	2.92	2.27	2.37	7.7	0.26
NP_415641.1	WP_000759310.1	100	99.425	potD	b1123	potD	LF82_RS05680														LF82_RS00755	b0141	8.35	4.94	4.32	4.06	5.57	1.06
NP_417974.1	WP_000372259.1	100	99.785	gadA	b3517	gadA	LF82_RS18445														LF82_RS00760	b0142	284.07	203.96	218.25	136.11	339.22	100.57
NP_415124.1	WP_001234319.1	100	99.686	fepB	b0592	fepB	LF82_RS02795														LF82_RS00765	b0143	566.79	408.2	470.68	346.33	589.44	274.8
NP_416844.1	WP_000531977.1	100	98.624	fadI	b2342	fadI	LF82_RS12300														LF82_RS00770	b0144	61.25	33.48	62.28	27.71	51.81	22.47
NP_415804.1	WP_000506492.1	100	99.618	fabI	b1288	fabI	LF82_RS06875														LF82_RS00775	b0145	409.98	242.55	895	712	609.88	374.25
NP_416205.1	WP_000795578.1	100	97.525	ydiM	b1690	ydiM	LF82_RS08785														LF82_RS00780	b0146	67.92	62.17	171.32	98.32	108.91	59.75
NP_416233.1	WP_001700733.1	100	100	infC	b1718	infC	LF82_RS08935														LF82_RS00785	b0147	24.31	13.5	41.73	25.5	37.5	17.5
NP_416529.1	WP_000880182.1	100	100	hisF	b2025	hisF	LF82_RS10725														LF82_RS00790	b0148	153.29	99.43	225.78	135.15	213.31	115.21
NP_417181.1	WP_001442016.1	100	99.169	mltB	b2701	mltB	LF82_RS14005														LF82_RS00795	#N/A	390.05	268.76	468.2	227.37	416.07	194.35
NP_416757.1	WP_000461633.1	100	99.379	arnC	b2254	arnC	LF82_RS11870														LF82_RS00800	b0149	1043.41	749.18	1325.5	1318.58	1893.95	637.44
NP_418238.1	WP_000612049.1	100	99.202	wecE	b3791	rffA	LF82_RS19880														LF82_RS00805	b0151	65.46	59.24	85.53	92	162.97	53.26
NP_417563.1	WP_000187442.1	100	100	uxaC	b3092	uxaC	LF82_RS16270														LF82_RS00810	b0152	22.88	12.95	18.39	32.49	34.33	15.68
NP_416774.2	WP_015912534.1	98	91.195	yfbL	b2271	yfbL	LF82_RS11955														LF82_RS00815	b0153	44.89	34.4	30.45	45.46	51.6	38.33
NP_417822.1	WP_000477225.1	100	100	ppiA	b3363	ppiA	LF82_RS17615														LF82_RS00820	b0154	382.25	284.87	640.76	451.75	775.99	317.33
NP_414649.1	WP_001025178.1	100	98.482	hofB	b0107	gspE	LF82_RS00545														LF82_RS26040	b4765	5	5	13.5	5.72	12.5	3
NP_415351.1	WP_000090174.1	100	98.828	gsiB	b0830	gsiB	LF82_RS03950														LF82_RS00825	b0155	78.92	47.68	168.17	119.37	122.93	42.5
NP_417892.1	WP_001002551.1	100	99.492	yhgN	b3434	yhgN	LF82_RS17985														LF82_RS25460	b4728	17	14.17	44	22.5	39	13
NP_416071.1	WP_001071769.1	100	100	rzpQ	b1553	rzpQ	LF82_RS08085														LF82_RS00830	b0156	248.02	340.93	589.89	381.72	700.14	130.75
NP_415050.1	WP_000703882.1	100	98.567	allD	b0517	allD	LF82_RS02540														LF82_RS00835	b0157	56	33.95	70.9	50.75	108.33	36.25
NP_416289.1	WP_000435290.1	100	99.782	ydjK	b1775	ydjK	LF82_RS09225														LF82_RS00840	b0158	120.67	145.77	246.15	169.2	214.25	48.64
NP_417791.1	WP_001058507.1	100	96.636	gspK	b3332	gspK	LF82_RS17450														LF82_RS00845	b0159	260.33	228	458.32	290	501.48	189.1
NP_417673.1	WP_000216791.1	100	100	npr	b3206	npr	LF82_RS16795														LF82_RS00850	b0160	72.33	48.25	160.91	84	126.11	50.56
NP_416375.1	WP_000580323.1	100	100	ruvA	b1861	ruvA	LF82_RS09695														LF82_RS00855	b0161	471.16	253.07	1008.16	391.22	648.12	242.04
