acc_MG	acc_LF82	Perc_cov	Perc_id	gene_name_MG	gene_id_MG	gene_name_LF82	gene_id_LF82	Log2FC_LF82	padj_LF82	Log2FC_MG	padj_MG
NP_417979.1	WP_000191257.1	100	99.11	yhjD	b3522	yhjD	LF82_RS18470	-0.188902749	0.596042565	-0.30518836	0.158511678
NP_414858.1	WP_000662401.1	100	97.826	yahJ	b0324	yahJ	LF82_RS26060	NA	NA	0.653698146	0.001727304
NP_415613.1	WP_000044679.1	100	100	fabF	b1095	fabF	LF82_RS05540	0.129352065	0.672335347	-0.181454562	0.033591688
NP_417245.1	WP_000108301.1	99	99.167	queD	b2765	queD	LF82_RS14315	0.126661374	0.73777456	-0.816624135	6.72238E-07
NP_418578.1	WP_001192980.1	100	99.834	frdA	b4154	frdA	LF82_RS22325	0.771144767	0.026178204	0.170312507	0.304979637
NP_417746.1	WP_000004421.1	99	97.771	fmt	b3288	fmt	LF82_RS17225	-0.056867113	0.87282075	0.093292073	0.472764285
NP_414980.2	WP_000113027.1	100	99.632	cof	b0446	cof	LF82_RS02200	-0.169975039	0.629857516	0.020502503	0.938232049
NP_417205.1	WP_000158056.1	100	100	hycA	b2725	hycA	LF82_RS14135	NA	NA	-0.14436896	NA
NP_415442.1	WP_001288856.1	100	99.773	mukF	b0922	mukF	LF82_RS04435	0.349699689	0.084435176	-0.527021234	2.14293E-08
YP_026189.1	WP_001034561.1	100	90.138	yghJ	b4466	sslE	LF82_RS15555	0.373858336	0.201392023	-1.471480641	9.92429E-22
NP_418342.2	WP_001298410.1	100	98.936	rhaR	b3906	rhaR	LF82_RS20600	-0.081159605	0.839152418	0.210246473	0.445662414
NP_415357.1	WP_000497137.1	100	100	bssR	b0836	bssR	LF82_RS03980	0.143706712	0.692960299	0.148530629	0.608961885
NP_414745.1	WP_001230983.1	100	100	yafD	b0209	yafD	LF82_RS01090	-0.28737837	0.384922577	-0.042466187	0.776212087
NP_418774.2	WP_001314407.1	100	99.721	btsT	b4354	btsT	LF82_RS23240	0.237462293	0.42261171	-0.933946357	5.26261E-08
NP_417484.1	WP_001058819.1	100	99.742	yqhD	b3011	yqhD	LF82_RS15785	-0.897945642	0.004295007	0.723162741	7.16036E-11
NP_416400.1	WP_014640162.1	100	99.638	tar	b1886	tar	LF82_RS09810	-0.078258074	0.844724125	-0.490698482	0.00012875
NP_416112.1	WP_001019537.1	100	98.99	ynfL	b1595	ynfL	LF82_RS08290	-0.115609328	NA	0.209198651	0.440163923
NP_417890.1	WP_001283713.1	100	99.451	glgB	b3432	glgB	LF82_RS26265	0.035944056	NA	0.132829613	0.345835596
NP_414870.1	WP_000076253.1	100	99.523	codB	b0336	codB	LF82_RS01730	0.312411158	0.356589733	0.248563697	0.246874426
NP_415365.4	WP_001298572.1	100	99.262	ybjI	b0844	ybjI	LF82_RS04020	0.158183476	0.654613626	-0.130363473	0.554443969
YP_009518822.1	WP_001247093.1	98	99.103	rph	b3643	rph	LF82_RS19100	0.053359033	0.896211405	-0.114219707	0.280030167
NP_415702.1	WP_000457597.1	100	98.341	umuC	b1184	umuC	LF82_RS06265	-0.03566744	0.93057997	0.216694848	0.39357944
NP_415083.1	WP_001204794.1	100	95.276	nmpC	b0553	quuD	LF82_RS05905	-0.272308628	NA	-1.822196928	1.00886E-30
YP_010051182.1	WP_023148853.1	100	97.619	ymiD	b4772	ymiD	LF82_RS26130	NA	NA	-0.014389935	NA
NP_416295.1	WP_014640160.1	100	97.183	yeaE	b1781	yeaE	LF82_RS09255	-0.124985152	0.73777456	0.043925295	0.850129821
NP_416780.1	WP_000926460.1	100	99.607	nuoM	b2277	nuoM	LF82_RS11970	0.363262354	0.151652553	0.237366096	0.050674452
NP_416373.1	WP_000571479.1	100	99.617	znuB	b1859	znuB	LF82_RS09685	0.067265906	0.866716101	-0.149131905	0.521437083
NP_416748.1	WP_000992976.1	100	98.502	yfaU	b2245	yfaU	LF82_RS11825	-0.224519797	NA	0.107272542	0.720663737
NP_417029.4	WP_001467880.1	100	98.592	yfhR	b2534	yfhR	LF82_RS13105	-0.249594174	0.467050788	0.118074144	0.57483974
NP_418500.1	WP_000812991.1	100	96.465	nrfG	b4076	nrfG	LF82_RS21600	-0.053521902	NA	0.236257858	NA
NP_418435.1	WP_001298281.1	100	97.638	yjaA	b4011	yjaA	LF82_RS21180	-0.094870203	0.812701457	-0.165866698	0.318284866
YP_025304.1	WP_000597201.1	100	98.065	slyB	b1641	slyB	LF82_RS08535	0.09634577	0.755308027	-0.458671504	8.06215E-05
NP_418451.4	WP_001468288.1	100	98.585	yjbF	b4027	yjbF	LF82_RS21305	NA	NA	-0.176594662	NA
YP_026278.1	WP_001185153.1	100	99.16	ptsA	b3947	ptsP	LF82_RS20835	0.052808165	0.897323458	-0.027571957	0.922785648
NP_418602.1	WP_000220134.1	100	98.496	yjfI	b4181	yjfI	LF82_RS22450	-0.090300997	NA	0.102078787	NA
NP_416728.1	WP_000786529.1	100	97.716	atoB	b2224	atoB	LF82_RS11720	-0.019831753	NA	-0.187563983	NA
NP_415651.4	WP_001441929.1	100	98.913	mnmA	b1133	mnmA	LF82_RS05735	0.081402512	0.844521898	0.003631294	0.97721968
NP_414624.1	WP_000970490.1	100	99.681	rsmH	b0082	rsmH	LF82_RS00430	0.075448305	0.817164207	-0.32719948	0.000147258
NP_416039.1	WP_000558456.1	100	98.413	dgcF	b1522	uxaB	LF82_RS07795	0.435749191	0.131353137	-0.497019164	0.005268126
NP_417634.1	WP_000059466.1	100	100	rpsO	b3165	rpsO	LF82_RS16590	-0.224939153	0.516937074	-0.102729558	0.276388647
NP_416187.1	WP_001571509.1	99	97.17	ydhW	b1672	ydhW	LF82_RS08695	-0.012123347	NA	0.10161129	NA
NP_417760.1	WP_001238917.1	100	99.306	rplO	b3301	rplO	LF82_RS17295	0.041826506	0.921141896	-0.260871629	0.000417916
NP_417460.1	WP_001190682.1	100	98.696	yghT	b2986	yghT	LF82_RS15660	0.044456171	NA	0.192500795	NA
NP_416327.1	WP_000456725.1	100	99.479	nudL	b1813	nudL	LF82_RS09410	0.30322693	0.309972213	-0.159202733	0.439207485
NP_415318.1	WP_000007116.1	100	98.899	rhlE	b0797	rhlE	LF82_RS03785	0.110932168	NA	-0.367086536	0.003587887
NP_415765.1	WP_000214516.1	100	100	clsA	b1249	cls	LF82_RS06645	0.281243308	0.356272106	-0.795363532	4.7164E-08
YP_003933616.1	WP_001387276.1	100	100	mgtL	b4702	mgtL	LF82_RS25900	-0.668707954	0.031979301	0.166828648	0.304939701
NP_417708.1	WP_000854033.1	100	99.677	aaeA	b3241	aaeA	LF82_RS16935	0.086993085	NA	0.017648239	0.953872713
NP_415944.1	WP_001299372.1	100	98.883	rimL	b1427	rimL	LF82_RS07325	0.096075094	0.805410006	0.008665132	0.977587227
NP_416156.4	WP_000061974.1	100	95.413	mliC	b1639	mliC	LF82_RS08525	-0.043082131	0.918859945	0.23258967	0.377241511
NP_415652.1	WP_000476093.1	100	100	nudJ	b1134	nudJ	LF82_RS05740	0.303293066	0.353741698	-0.225114057	0.284173558
NP_418779.2	WP_001292634.1	100	99.345	opgB	b4359	opgB	LF82_RS23285	-0.39972017	0.164320604	0.121775525	0.292591526
NP_417907.2	WP_000907827.1	100	97.472	ugpC	b3450	ugpC	LF82_RS18055	0.174097618	0.624099066	0.267593158	0.271032395
NP_416689.1	WP_000578103.1	100	98.976	radD	b2184	radD	LF82_RS11505	0.242606837	0.446328317	-0.394545955	0.057779975
NP_415844.1	WP_000817700.1	100	98.997	pgrR	b1328	pgrR	LF82_RS07070	-0.086521045	0.829709261	-0.031940149	0.90610403
NP_416037.2	WP_001313828.1	100	100	yneE	b1520	yneE	LF82_RS07780	0.211966477	0.549210551	-0.107335855	0.681124648
NP_416703.1	WP_001295447.1	100	100	ccmC	b2199	ccmC	LF82_RS11585	0.27611091	0.418383671	-0.381771474	0.135040567
NP_415601.1	WP_001212764.1	100	98.423	flgL	b1083	flgL	LF82_RS05480	-0.180886295	0.613800744	-0.340103771	0.005743738
NP_415448.1	WP_000462696.1	100	99.242	aspC	b0928	aspC	LF82_RS04465	-0.366516184	0.148316042	0.602181105	1.86734E-10
NP_418304.1	WP_001334023.1	100	99.574	glnG	b3868	glnG	LF82_RS20385	0.133130298	0.691308461	0.16117115	0.255463368
NP_415125.1	WP_001298341.1	100	99.744	entC	b0593	entC	LF82_RS02800	0.150566421	0.67948835	0.096945625	0.730947998
NP_415679.1	WP_000373104.1	100	99.254	ycgX	b1161	ycgX	LF82_RS06135	0.029760884	0.944426637	0.046067972	0.863114863
NP_418101.1	WP_000621332.1	100	98.955	yicC	b3644	yicC	LF82_RS19105	-0.508233562	0.038532548	1.027366528	1.95912E-25
NP_415850.1	WP_000611911.1	100	100	fnr	b1334	fnr	LF82_RS07100	0.23830361	0.37498313	-0.374843403	6.16508E-08
NP_418319.2	WP_000196715.1	99	67.34	yihV	b3883	typA	LF82_RS20445	-0.324662085	0.33498179	-0.131977898	NA
NP_418227.1	WP_000047499.1	100	100	rhlB	b3780	rhlB	LF82_RS19820	0.661802061	0.002091508	-0.497179616	1.33518E-09
NP_416617.1	WP_001296226.1	100	99.557	metG	b2114	metG	LF82_RS11135	0.448859466	0.06398406	-0.44175192	1.41612E-05
NP_418007.3	WP_000185343.1	100	97.04	bisC	b3551	bisC	LF82_RS18665	-0.320687595	0.243599344	0.105679375	0.521488836
NP_416093.1	WP_001083273.1	100	98.413	ydfD	b1576	ydfD	LF82_RS08195	NA	NA	NA	NA
NP_416411.1	WP_001298457.1	100	99.248	otsB	b1897	otsB	LF82_RS09855	0.051773371	0.899178792	0.210936422	0.44371296
NP_417441.1	WP_000234491.1	100	97.872	yqgA	b2966	yqgA	LF82_RS15415	-0.555107448	0.10910842	0.731467424	0.006121454
NP_415157.1	WP_000939738.1	100	98.425	crcB	b0624	crcB	LF82_RS02950	-0.243042451	0.480178604	0.060984651	0.821960928
NP_416729.1	WP_001225879.1	100	98.45	yfaP	b2225	yfaP	LF82_RS11725	-0.050140037	NA	-0.424287139	NA
NP_418584.1	WP_000934911.1	100	99.689	psd	b4160	asd	LF82_RS22345	-0.188122173	0.564756375	0.195463788	0.06546775
NP_418819.1	WP_001295754.1	98	100	yjjY	b4402	yjjY	LF82_RS23530	0.180577634	NA	-0.195551819	NA
NP_417374.1	WP_000886078.1	100	98.773	ygfZ	b2898	ygfZ	LF82_RS15055	-0.4405797	0.129056891	0.627530006	1.84285E-10
NP_417983.2	WP_001297976.1	100	99.353	kdgK	b3526	kdgK	LF82_RS18495	0.040187918	0.925176481	-0.231731818	0.122452555
NP_416251.1	WP_000073023.1	100	99.336	chbC	b1737	chbC	LF82_RS09025	0.246250859	0.469063261	-0.278505101	0.242759124
NP_415358.1	WP_000555041.1	100	99.191	yliI	b0837	yliI	LF82_RS03985	0.0431813	0.918773601	-0.002504413	NA
NP_417454.1	WP_001314155.1	99	99.206	glcC	b2980	glcC	LF82_RS15595	-0.315220321	0.323393848	-0.050240011	0.868787938
NP_418073.1	WP_000646018.1	100	99.413	tdh	b3616	tdh	LF82_RS18980	0.084891474	0.824821482	0.152203571	0.281265513
NP_415740.1	WP_000918039.1	100	99.498	narX	b1222	narX	LF82_RS06485	-0.01547296	0.971242946	-0.09776988	0.600108623
YP_009518825.1	WP_000037973.1	99	30.159	glvC	b3683	ptsG	LF82_RS20110	-0.169764303	0.634877603	0.082365813	NA
NP_416823.1	WP_000699136.1	100	98.677	pdxB	b2320	pdxB	LF82_RS12190	0.936349104	0.000167297	-0.856855699	7.85707E-11
NP_418783.2	WP_000538188.1	100	99.363	yjjB	b4363	yjjB	LF82_RS23305	-0.109574584	NA	0.079945068	NA
NP_415015.1	WP_000365160.1	100	98.485	ybaP	b0482	ybaP	LF82_RS23795	-0.201084297	0.570063487	0.885107226	6.57529E-10
NP_416707.4	WP_000835174.1	100	100	napB	b2203	napB	LF82_RS11605	0.343954398	0.30230011	-0.056988562	0.852532958
NP_417564.2	WP_001298326.1	100	99.537	exuT	b3093	exuT	LF82_RS16275	-0.332032073	0.313979528	0.043362922	0.877149072
NP_417498.1	WP_000673390.1	100	98.664	qseC	b3026	qseC	LF82_RS15880	-0.075623804	0.852045057	0.075711771	0.758377955
NP_416347.1	WP_001207279.1	100	99.766	letA	b1833	yebS	LF82_RS09540	0.089145651	0.810984661	-0.024743418	0.91976966
NP_417451.1	WP_000853256.1	100	100	glcG	b2977	glcG	LF82_RS15575	0.278391769	NA	0.100646874	NA
NP_418098.4	WP_000818603.1	100	99.495	slmA	b3641	slmA	LF82_RS19090	0.205592719	0.493138081	-0.104504583	0.443463792
NP_418805.1	WP_001132964.1	100	99.379	serB	b4388	serB	LF82_RS23450	0.03201717	0.937368945	-0.416993377	0.117138164
NP_415119.1	WP_000096767.1	100	93.899	fepE	b0587	wzz(fepE)	LF82_RS02770	0.188063504	0.596359107	-0.243208568	NA
NP_418675.1	WP_000012936.1	100	94.012	argI	b4254	argF	LF82_RS22840	0.066045127	NA	-0.157087013	0.588203583
NP_415399.4	WP_000746478.1	100	98.652	macA	b0878	macA	LF82_RS04200	-0.20067642	0.567270766	-0.057747849	0.818784512
NP_415175.1	WP_015912473.1	100	99.302	leuS	b0642	leuS	LF82_RS03040	0.173527062	0.557238467	-0.102751281	0.147769202
NP_416377.1	WP_001295503.1	100	100	ruvC	b1863	ruvC	LF82_RS09705	0.330706392	0.218693828	-0.580137393	4.88312E-08
NP_415969.1	WP_000550678.1	100	98.584	yncE	b1452	yncE	LF82_RS07440	0.139101099	0.68125759	0.224831124	0.096689772
NP_415440.1	WP_000899600.1	100	100	elyC	b0920	elyC	LF82_RS04425	-0.026446382	NA	-0.065119299	0.831041387
NP_414890.1	WP_000842109.1	100	99.187	frmA	b0356	frmA	LF82_RS01770	-0.065750894	0.866365463	0.670931362	2.53798E-10
NP_416909.1	WP_000034402.1	100	100	cysK	b2414	cysK	LF82_RS12590	0.074091421	0.858554849	0.63102856	0.000478326
YP_025303.1	WP_001296096.1	100	95.122	blr	b4409	blr	LF82_RS08445	-1.038731802	0.004004224	0.453907077	0.033525592
YP_026265.1	WP_000171710.1	100	100	rhtB	b3824	rhtB	LF82_RS20055	0.036231949	0.930270837	-0.277073681	0.293990016
NP_418442.2	WP_000226409.1	100	99.27	iclR	b4018	iclR	LF82_RS21210	0.1315629	0.720868861	-0.283542157	0.018085726
NP_417624.1	WP_000189322.1	100	98	yhbQ	b3155	yhbQ	LF82_RS16535	0.171684807	0.63040077	0.027552301	0.915454242
NP_417496.1	WP_000712658.1	100	100	ygiW	b3024	ygiW	LF82_RS15870	0.681850696	0.041033026	0.093275916	0.730265822
NP_414853.1	WP_015912465.1	100	94.077	yahE	b0319	yahE	LF82_RS01655	0.022677119	NA	-0.272357673	NA
NP_415309.1	WP_000045484.1	100	98.113	ybhN	b0788	ybhN	LF82_RS03735	-0.135282959	NA	0.102854494	NA
NP_417426.1	WP_000997805.1	100	99.573	yggS	b2951	yggS	LF82_RS15325	0.343166451	0.16205506	-0.308408765	0.045435081
NP_418354.1	WP_001216325.1	100	100	tpiA	b3919	tpiA	LF82_RS20665	-0.349863891	0.178782291	0.444166052	4.46392E-05
NP_415428.1	WP_000445244.1	99	98.588	aroA	b0908	aroA	LF82_RS04365	0.144892942	0.681960072	-0.593886259	1.8808E-05
YP_002791254.1	WP_001050745.1	100	97.561	yqfG	b4684	yqfG	LF82_RS15005	NA	NA	NA	NA
NP_418021.1	WP_000275345.1	100	98.554	xylB	b3564	xylB	LF82_RS18730	0.145399571	0.688051258	0.139741035	0.602175835
NP_418180.1	WP_000377784.1	100	99.585	phoU	b3724	phoU	LF82_RS19560	-0.148650842	0.67948835	0.015835022	0.944239777
NP_415147.1	WP_000550401.1	100	98.361	citX	b0614	citX	LF82_RS02900	NA	NA	0.256916787	NA
NP_415133.1	WP_000183964.1	100	98.187	ybdL	b0600	ybdL	LF82_RS02840	-0.285728011	NA	0.371647907	0.120833044
NP_418318.1	WP_001306655.1	98	72.603	yihU	b3882	yihU	LF82_RS20450	-0.102158869	0.78716606	0.035361833	NA
NP_418390.1	WP_000556298.1	100	99.133	eptC	b3955	eptC	LF82_RS20870	0.259166794	0.411110552	-0.277165773	0.015293133
NP_415335.1	WP_001295296.1	100	100	ompX	b0814	ompX	LF82_RS03875	0.227268286	0.468959927	-0.357237102	2.27786E-05
YP_009518812.1	WP_120795390.1	100	100	yqfH	b4753	yqfG	LF82_RS25820	NA	NA	NA	NA
NP_418767.4	WP_000132614.1	100	94.69	symE	b4347	symE	LF82_RS23205	-0.156881413	NA	-0.346406411	0.164014313
NP_417638.1	WP_001031057.1	100	100	nusA	b3169	nusA	LF82_RS16610	0.156447885	0.661054662	-0.11706081	0.170753492
YP_010051176.1	WP_001312672.1	100	94.118	speFL	b4803	speFL	LF82_RS25540	0.066188753	0.867909231	NA	NA
NP_418033.1	WP_000576092.1	99	91.558	yiaL	b3576	yiaL	LF82_RS18795	-0.082764494	NA	-0.035493027	NA
NP_417107.2	WP_001203437.1	100	100	bamE	b2617	bamE	LF82_RS13535	-0.310913046	0.238787765	-0.009845029	0.955560797
NP_415641.1	WP_000759310.1	100	99.425	potD	b1123	potD	LF82_RS05680	-0.061902293	0.86934581	-0.567955508	1.28097E-11
NP_417974.1	WP_000372259.1	100	99.785	gadA	b3517	gadA	LF82_RS18445	-0.049719584	0.905523121	-0.122358378	0.640188206
NP_415124.1	WP_001234319.1	100	99.686	fepB	b0592	fepB	LF82_RS02795	0.470863065	0.129167563	-0.150239802	0.553516441
NP_416844.1	WP_000531977.1	100	98.624	fadI	b2342	fadI	LF82_RS12300	-0.471936763	0.164320604	0.033650656	0.916772242
NP_415804.1	WP_000506492.1	100	99.618	fabI	b1288	fabI	LF82_RS06875	-0.264557097	0.281426816	0.100739525	0.330879061
NP_416205.1	WP_000795578.1	100	97.525	ydiM	b1690	ydiM	LF82_RS08785	-0.282591785	NA	0.0556761	NA
NP_416233.1	WP_001700733.1	100	100	infC	b1718	infC	LF82_RS08935	-0.076639989	0.844724125	0.021138633	0.853384836
NP_416529.1	WP_000880182.1	100	100	hisF	b2025	hisF	LF82_RS10725	0.18326015	0.607305581	-0.49090922	0.008808799
NP_417181.1	WP_001442016.1	100	99.169	mltB	b2701	mltB	LF82_RS14005	0.568258966	0.026695801	-0.56300426	0.001134901
NP_416757.1	WP_000461633.1	100	99.379	arnC	b2254	arnC	LF82_RS11870	1.063128385	0.009283084	-0.005966188	NA
NP_418238.1	WP_000612049.1	100	99.202	wecE	b3791	rffA	LF82_RS19880	-0.093226379	0.758993092	0.178156737	0.104879809
NP_417563.1	WP_000187442.1	100	100	uxaC	b3092	uxaC	LF82_RS16270	-0.130700186	0.723302215	-0.439607712	0.049886413
NP_416774.2	WP_015912534.1	98	91.195	yfbL	b2271	yfbL	LF82_RS11955	-0.078514649	NA	0.164178076	NA
NP_417822.1	WP_000477225.1	100	100	ppiA	b3363	ppiA	LF82_RS17615	-0.868229463	0.000118196	0.631849393	1.41612E-05
NP_414649.1	WP_001025178.1	100	98.482	hofB	b0107	gspE	LF82_RS00545	-0.029602097	NA	0.108553229	0.686265686
NP_415351.1	WP_000090174.1	100	98.828	gsiB	b0830	gsiB	LF82_RS03950	-0.023123309	0.957972459	0.111229908	0.607285176
NP_417892.1	WP_001002551.1	100	99.492	yhgN	b3434	yhgN	LF82_RS17985	0.205483737	0.55941074	0.234395404	0.19824676
NP_416071.1	WP_001071769.1	100	100	rzpQ	b1553	rzpQ	LF82_RS08085	0.277099988	0.415200705	0.019265175	NA
NP_415050.1	WP_000703882.1	100	98.567	allD	b0517	allD	LF82_RS02540	0.058468502	NA	0.144399572	NA
NP_416289.1	WP_000435290.1	100	99.782	ydjK	b1775	ydjK	LF82_RS09225	0.024706949	NA	-0.253918942	NA
NP_417791.1	WP_001058507.1	100	96.636	gspK	b3332	gspK	LF82_RS17450	0.089510417	NA	-0.032435484	NA
NP_417673.1	WP_000216791.1	100	100	npr	b3206	npr	LF82_RS16795	-0.3111646	0.25127969	0.232901281	0.087183752
NP_416375.1	WP_000580323.1	100	100	ruvA	b1861	ruvA	LF82_RS09695	1.082662008	0.000234046	-1.059565292	3.79548E-09
NP_418781.1	WP_000799911.1	100	100	dnaC	b4361	dnaC	LF82_RS23295	0.038964114	0.926423651	0.31874064	0.076443897
NP_418120.2	WP_001350419.1	100	98.423	adeQ	b3664	adeQ	LF82_RS19265	-0.008740857	NA	0.038110144	0.905659846
NP_416683.1	WP_000501604.1	100	100	yejB	b2178	yejB	LF82_RS11475	-0.115091592	0.746901896	0.084898982	0.731247359
YP_026263.3	WP_000035581.1	100	100	recQ	b3822	recQ	LF82_RS20045	-0.00434776	0.990761501	0.297863845	0.006207475
NP_418804.1	WP_000124608.1	100	99.533	ytjB	b4387	ytjB	LF82_RS25915	-0.385558065	0.236960713	-0.71637599	0.004142535
NP_416267.1	WP_000524076.1	100	97.802	ynjA	b1753	ynjA	LF82_RS09110	-0.021168569	NA	0.088303984	0.77114483
NP_418028.1	WP_000761211.1	100	97.189	malS	b3571	malS	LF82_RS18765	0.013497919	0.977573778	0.242464816	0.204722687
NP_416103.2	WP_000778146.1	100	98.02	ynfD	b1586	ynfD	LF82_RS08245	0.754354351	0.040728487	-0.109891125	0.712855973
NP_414878.1	WP_000177875.1	100	97.363	lacZ	b0344	lacZ	LF82_RS01750	-2.041654537	0.00020454	0.339494368	0.14907079
NP_416904.1	WP_001109796.1	100	99.675	yfeR	b2409	yfeR	LF82_RS12560	-0.081144296	0.844724125	0.045194289	0.880902717
NP_414827.1	WP_000730982.1	100	99.487	ecpA	b0293	ecpA	LF82_RS01470	0.061199204	0.879512595	-0.000839277	0.996373921
NP_416826.1	WP_000817178.1	100	100	fabB	b2323	fabB	LF82_RS12205	-0.350362941	0.148316042	-0.169235678	0.029483974
NP_415943.4	WP_001296056.1	100	98.649	ydcH	b1426	ydcH	LF82_RS07320	-0.161014121	0.65595948	-0.135044603	0.615664335
NP_417095.1	WP_000969007.1	100	98.775	dgcN	b2604	dgcN	LF82_RS13470	0.405738368	0.18364174	-0.603535929	0.001064068
NP_415256.1	WP_001048602.1	100	100	sucC	b0728	sucC	LF82_RS03420	0.54660969	0.093316419	0.484664228	0.000141503
NP_416874.1	WP_001283506.1	100	99.645	oxc	b2373	oxc	LF82_RS12375	-0.231086759	NA	0.074218235	0.809584632
NP_415808.1	WP_001146163.1	100	100	sapC	b1292	sapC	LF82_RS06915	0.407140267	0.202155155	-0.367204661	0.047576004
NP_415957.1	WP_000047434.1	100	98.163	ydcS	b1440	ydcS	LF82_RS07380	0.189043637	0.596933691	0.115649153	0.69240698
NP_418738.1	WP_001244830.1	100	97.727	fimF	b4318	fimF	LF82_RS23010	0.292936247	0.392806603	0.094758968	NA
NP_415366.1	WP_000217859.1	100	100	ybjJ	b0845	ybjJ	LF82_RS04025	0.162267517	0.649139934	-0.103566865	0.67133485
NP_416949.1	WP_000929720.1	100	98.561	eutJ	b2454	eutJ	LF82_RS12730	0.119529144	NA	0.212634705	NA
NP_415793.1	WP_001176294.1	100	99.49	ribA	b1277	ribA	LF82_RS06810	0.638553543	0.031087239	-0.950275773	1.05056E-08
NP_417178.1	WP_000140506.1	100	99.398	recX	b2698	recX	LF82_RS13990	-0.392237385	0.220054392	0.24487756	0.302059069
NP_416370.2	WP_001184045.1	100	100	mepM	b1856	mepM	LF82_RS09670	-0.054506629	0.883100265	-0.174377133	0.204735532
NP_415145.1	WP_000050328.1	100	99.795	citT	b0612	citT	LF82_RS02890	-0.138571305	NA	0.129069331	0.661803854
NP_417464.1	WP_000334896.1	100	100	hybG	b2990	hybG	LF82_RS15680	0.136168612	0.708700767	-0.010115228	0.968725945
NP_414898.4	WP_000362014.1	100	95.135	yaiS	b0364	yaiP	LF82_RS01795	-0.114630798	NA	0.001690808	NA
NP_417818.1	WP_000963809.1	100	98.522	argD	b3359	argD	LF82_RS17595	-0.014807111	0.974631308	0.302722611	0.041569477
NP_416340.1	WP_000714544.1	100	97.872	mgrB	b1826	mgrB	LF82_RS09490	0.207958248	0.542804622	-0.439209208	0.020400565
NP_416141.4	WP_001282531.1	100	99.133	ydgJ	b1624	ydgJ	LF82_RS08440	0.445553683	0.129167563	-0.34883691	0.048817452
NP_418271.1	WP_001196238.1	100	100	bioP	b3827	bioP	LF82_RS20070	0.054755623	0.882498733	-0.036035459	0.880902717
NP_417502.1	WP_000195274.1	100	99.841	parE	b3030	parE	LF82_RS15940	0.164344705	0.613800744	-0.125080197	0.202898358
